barometer1	barometer2	insideTemperature	ambientTemperature	light	gyroscope1	gyroscope2	gyroscope3	accelerometer1	accelerometer2	accelerometer3	timestamp
22.79	999.17	22.75	18.71875	1.2	6.4697265625	0.7476806640625	-8.7432861328125	0.22412109375	-0.003173828125	-0.94580078125	1512052897846
22.79	999.17	22.75	18.90625	1.2	6.4697265625	0.7476806640625	-8.7432861328125	0.22412109375	-0.003173828125	-0.94580078125	1512052898454
22.81	999.23	22.75	18.90625	1.2	6.4697265625	0.7476806640625	-8.7432861328125	0.22412109375	-0.003173828125	-0.94580078125	1512052898859
22.81	999.23	22.75	18.90625	1.2	6.4697265625	0.7476806640625	-8.7432861328125	0.179443359375	-0.07666015625	-1.011962890625	1512052899130
22.81	999.23	22.75	18.90625	1.2	6.4697265625	0.7476806640625	-8.7432861328125	0.179443359375	-0.07666015625	-1.011962890625	1512052899400
22.81	999.23	22.75	18.90625	1.2	5.66864013671875	-29.99114990234375	-1.983642578125	0.179443359375	-0.07666015625	-1.011962890625	1512052899670
22.81	999.23	22.75	18.90625	1.12	5.66864013671875	-29.99114990234375	-1.983642578125	0.179443359375	-0.07666015625	-1.011962890625	1512052899939
22.81	999.23	22.75	18.59375	1.12	5.66864013671875	-29.99114990234375	-1.983642578125	0.179443359375	-0.07666015625	-1.011962890625	1512052900546
22.79	999.22	22.75	18.59375	1.12	5.66864013671875	-29.99114990234375	-1.983642578125	0.179443359375	-0.07666015625	-1.011962890625	1512052900951
22.79	999.22	22.75	18.59375	1.12	5.66864013671875	-29.99114990234375	-1.983642578125	0.109619140625	0.00244140625	-0.990966796875	1512052901222
22.79	999.22	22.75	18.59375	1.12	5.66864013671875	-29.99114990234375	-1.983642578125	0.109619140625	0.00244140625	-0.990966796875	1512052901492
22.79	999.22	22.75	18.59375	1.12	2.93731689453125	9.19342041015625	-12.74871826171875	0.109619140625	0.00244140625	-0.990966796875	1512052901762
22.79	999.22	22.75	18.59375	1.53	2.93731689453125	9.19342041015625	-12.74871826171875	0.109619140625	0.00244140625	-0.990966796875	1512052902031
